Origin Controller	Original URL	HTTP Method	Source File Path	DMZ File Path	New URL	New Method	Data Origin	ControllerTasks	Mapping&BodyTasks	WrapperTasks	Migration Status	Commit Hash	Migrated Date	Notes
ProductsController	product/updateConfigurableProductLink/{sku}	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:44			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/updateStock	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:53			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/getStockByStore	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:62			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/updatePrice	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:69			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/uploadImage	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:78			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/uploadImagesToMagento	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:101			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProspectoController	prospecto/rfc	POST	WebApiMagento/Controllers/ProspectoController.cs:19	WebApiMagento/Controllers/ProspectoController.cs:15	(candidate) partner/client/filter/{sapFilter}	GET	SAP (BP05)				In Progress	3f74d24		RFC lookup satisfiable by the BP filter endpoint.
ProspectoController	prospecto/recuperarcuenta	POST	WebApiMagento/Controllers/ProspectoController.cs:78	WebApiMagento/Controllers/ProspectoController.cs:27	(candidate) partner/client/filter/{sapFilter}	GET	SAP (BP05)				In Progress	3f74d24		Account recovery via BP05.
RecommenderController	recommender/setRecommenderList	POST	WebApiMagento/Controllers/RecomenderController.cs:15	WebApiMagento/Controllers/RecommenderController.cs:21	Unknown	Unknown	INTELISIS				Not Migrated	fa9aff5		"Resolves against stage-delta, not against origin/Production — see G-18. LAN filename is RecomenderController.cs (one m) but the class and [RoutePrefix(""recommender"")] both use two, so routing matches the DMZ."
RecommenderController	recommender/getRecommender	POST	WebApiMagento/Controllers/RecomenderController.cs:31	WebApiMagento/Controllers/RecommenderController.cs:51	Unknown	Unknown	INTELISIS				Not Migrated	fa9aff5		As above. No SAP counterpart; absent from all gap documents (G-17).
RecommenderController	recommender/setCodes	POST	WebApiMagento/Controllers/RecomenderController.cs:41	WebApiMagento/Controllers/RecommenderController.cs:62	Unknown	Unknown	INTELISIS				Not Migrated	fa9aff5		As above. No SAP counterpart; absent from all gap documents (G-17).
StatusController	status/getStatus	POST	WebApiMagento/Controllers/StatusController.cs:11	WebApiMagento/Controllers/StatusController.cs:11	Unknown		INTELISIS				Planed Dev 1	be1d011		LAN health probe. Verb mismatch: declared [HttpPost], calls curl.Get.
WalletCustomerController	customer/wallet/details	POST	WebApiMagento/Controllers/WalletCustomerController.cs:16	WebApiMagento/Controllers/WalletCustomerController.cs:15	customer/wallet/details	POST	SAP (SD18 ZAPI_CONDITIONCONTRACT_SRV)	100.00%	100.00%	100.00%	Migrated	c14b8c6	2026-07-15	Bridge at DMZ WalletCustomerController.cs:39. Route preserved verbatim — the cleanest mapping in the set.
WalletCustomerController	customer/wallet/getCuentaC/{ordenCompra}	GET	WebApiMagento/Controllers/WalletCustomerController.cs:40	WebApiMagento/Controllers/WalletCustomerController.cs:52	Unknown	Unknown	INTELISIS				Not Migrated	b416730		Two defects: DMZ calls customer/getCuentaC/... — missing the /wallet segment present in the LAN [RoutePrefix]; and DMZ uses curl.Get while LAN declares [HttpPost]. See G-06.
WalletCustomerController	customer/wallet/getMinimumCostToRedeem	POST	WebApiMagento/Controllers/WalletCustomerController.cs:49	WebApiMagento/Controllers/WalletCustomerController.cs:75	(covered by) customer/wallet/details	POST	SAP (SD18)				In Progress	b416730		Wallet data available from SAP; threshold logic not yet exposed as its own route.
WholesaleCustomerController	company/wholesale-customer/{wholesaleAccount}	GET	WebApiMagento/Controllers/WholesaleCustomerController.cs:15	WebApiMagento/Controllers/WholesaleCustomerController.cs:17	(candidate) product/articulos/ie/mayorista	GET	SAP (ZAPI_ARTICULOS_SRV)				In Progress	763f14c		Wholesale article endpoint exists on SAP; customer-side not repointed.
WholesaleCustomerController	company/negotiable-quote/create	POST	WebApiMagento/Controllers/WholesaleCustomerController.cs:26	WebApiMagento/Controllers/WholesaleCustomerController.cs:44	Unknown	Unknown	INTELISIS				Not Migrated	763f14c		B2B negotiable quotes; no SAP mapping documented.
CustomersController (LAN-only)	customer/getCuenta	POST	WebApiMagento/Controllers/CustomersController.cs:90	No DMZ route - LAN-only endpoint			MAGENTO (rest/V1/mavi-cuenta/getCuenta)				Planed Dev 1	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
CustomersController (LAN-only)	customer/setCuenta	POST	WebApiMagento/Controllers/CustomersController.cs:99	No DMZ route - LAN-only endpoint			MAGENTO (rest/V1/mavi-cuenta/setCuenta)				Planed Dev 1	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
CreditController (LAN-only)	credit/SaveCredilanaInfo	POST	WebApiMagento/Controllers/CreditController.cs:453	No DMZ route - LAN-only endpoint			INTELISIS (CredyPrestamoMethods)				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
OrdersController (LAN-only)	order/createStorepickupCode/{idEcommerce}/{idOrder}	POST	WebApiMagento/Controllers/OrdersController.cs:372	No DMZ route - LAN-only endpoint	Unknown	Unknown	INTELISIS (CodigoRecogerSucursal / TrWDM0285_CteRecoge)				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
OrdersController (LAN-only)	order/generateNewStorepickupCode/{idEcommerce}	GET	WebApiMagento/Controllers/OrdersController.cs:394	No DMZ route - LAN-only endpoint	Unknown	Unknown	INTELISIS (CodigoRecogerSucursal)				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
OrdersController (LAN-only)	order/getOrderId/{idEcommerce}	POST	WebApiMagento/Controllers/OrdersController.cs:417	No DMZ route - LAN-only endpoint	Unknown	Unknown	INTELISIS (OrderMethods) + outbound Curl				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
OrdersController (LAN-only)	order/getOrderInfoAndSet/{incrementId}	GET	WebApiMagento/Controllers/OrdersController.cs:437	No DMZ route - LAN-only endpoint			MAGENTO				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
OrdersController (LAN-only)	order/checkOpenpay	POST	WebApiMagento/Controllers/OrdersController.cs:446	"""webhook inverso"" (LAN ? DMZ ? Magento)"	Unknown	GET	SQLITE / INTELISIS (OpenpayMethods)				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updateProduct	POST	WebApiMagento/Controllers/ProductsController.cs:18	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/products, product/exportaart/{store}	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updateProductJsonOnly	POST	WebApiMagento/Controllers/ProductsController.cs:119	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/products	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updatePrice	POST	WebApiMagento/Controllers/ProductsController.cs:131	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/products	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updateConfigurableProduct	POST	WebApiMagento/Controllers/ProductsController.cs:144	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/jerarquia/articulos	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updateStockMavi	POST	WebApiMagento/Controllers/ProductsController.cs:162	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/stock	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/updateStock	POST	WebApiMagento/Controllers/ProductsController.cs:178	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/stock	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/getStockByStore	POST	WebApiMagento/Controllers/ProductsController.cs:193	No DMZ route - LAN-only endpoint	product/stock/filter/{filter}	GET	INTELISIS				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
ProductsController (LAN-only)	product/existenciasAlmacenArt	POST	WebApiMagento/Controllers/ProductsController.cs:203	"""webhook inverso"" (LAN ? DMZ ? Magento)"	product/stock/filter/{filter}	GET	INTELISIS				Planed Dev 2	7c46e13		Job del servidor LAN, ImportApp - Microsoft Team Foundation Server 
ProductsController (LAN-only)	product/obtenerImagen	POST	WebApiMagento/Controllers/ProductsController.cs:215	No DMZ route - LAN-only endpoint	ma/imagenes/optimizadas	GET	INTELISIS				Out of scope	7c46e13		No tiene ruta en DMZ, no lo consulta magento pero lo puede consultar otra aplicación, se desconoce.
MercanciaController	mercancias/getAbonos	POST	WebApiMagento/Controllers/MercanciaController.cs:17	WebApiMagento/Controllers/MercanciaController.cs:16	(candidate) credit/GetAccountDebts	POST	SAP (EX01/TZ01)				Deprecated	5f00c8f		RESTORED - absent from the hand-scored copy; percentages not yet set. LAN handler carries // TODO: Query pendiente de ERP (MercanciaMethods.cs:187) — incomplete even in LAN.
MercanciaController	mercancias/getProximosPagos	POST	WebApiMagento/Controllers/MercanciaController.cs:26	WebApiMagento/Controllers/MercanciaController.cs:31	(candidate) credit/GetAccountDebts	POST	SAP (EX01)				Deprecated	5f00c8f		RESTORED - absent from the hand-scored copy; percentages not yet set. Open FI items available via EX01.
MercanciaController	mercancias/getSaldoVencido	POST	WebApiMagento/Controllers/MercanciaController.cs:35	WebApiMagento/Controllers/MercanciaController.cs:51	(candidate) credit/GetAccountDebts	POST	SAP (EX01)				Deprecated	5f00c8f		RESTORED - absent from the hand-scored copy; percentages not yet set. Overdue balance derivable from EX01 open items.
MercanciaController	mercancias/getLimiteMercancia	POST	WebApiMagento/Controllers/MercanciaController.cs:44	WebApiMagento/Controllers/MercanciaController.cs:74	(candidate) partner/client/{clientId}	GET	SAP (BP05 ZlimCred)				Deprecated	5f00c8f		RESTORED - absent from the hand-scored copy; percentages not yet set. Credit limit exposed on BP05.
MercanciaController	mercancias/ValidarTelefono	POST	WebApiMagento/Controllers/MercanciaController.cs:53	WebApiMagento/Controllers/MercanciaController.cs:88	(candidate) partneraddress/partner/phone	PATCH	SAP (BP address to_PhoneNumber)				Deprecated	5f00c8f		RESTORED - absent from the hand-scored copy; percentages not yet set. Phone handling built in PartnerAddressController.
