Archivo,Linea,Tipo,EnCatch,UsaLaExcepcion,Metodo,Mensaje,Propuesta,Decision
Methods\Order\OrderMethods.cs,1896,Logger.SAP,NO,NO,SetOrderAsync,[SAP ORDER RESPONSE] ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1900,Logger.SAP,NO,NO,SetOrderAsync,[SAP ORDER ERROR]  + StatusCode: {response.StatusCode}. Content: {responseContent},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1913,Console.WriteLine,NO,NO,SetOrderAsync,"[SetOrder] ✓ Orden creada en SAP. PurchNoC: {sapResponse.PurchNoC}, Cliente: {sapResponse.Zctefinal}",QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1926,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Cliente obtenido de BP: {clienteDetails?.BusinessPartner},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1930,Console.WriteLine,SI,SI,SetOrderAsync,[SetOrder] Advertencia: No se obtuvieron detalles de BP: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1940,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Pickup: Datos registrados para {NombreClienteMavi},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1946,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Datos entrega migrados a SAP OData exitosamente.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1963,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Lanzando webhook a DMZ para setCAccount con BP {sapResponse.Zctefinal},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1967,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] ✓ Orden {incrementId} procesada exitosamente,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1972,Console.WriteLine,SI,SI,SetOrderAsync,[SetOrder] ✗ Error: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,2000,Console.WriteLine,NO,NO,ValidarPreciosConProperlistAsync,[ValidarPreciosConProperlist] Advertencia: properlist vacía en SAP para SKU {articulo.sku},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2010,Console.WriteLine,NO,NO,ValidarPreciosConProperlistAsync,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2019,Console.WriteLine,NO,NO,ValidarPreciosConProperlistAsync,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2026,Console.WriteLine,NO,NO,ValidarPreciosConProperlistAsync,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2033,Console.WriteLine,NO,NO,ValidarPreciosConProperlistAsync,[ValidarPreciosConProperlist] Validación completada,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2037,Console.WriteLine,SI,SI,ValidarPreciosConProperlistAsync,[ValidarPreciosConProperlist] Advertencia: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,2053,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] Consultando stock para plant {plant} por articulo,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2065,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] {errorMsg},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2073,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] {errorMsg},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2081,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] {errorMsg},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2085,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2090,Console.WriteLine,NO,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] Validación completada exitosamente,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2096,Console.WriteLine,SI,NO,ValidarStockArticulosAsync,[ValidarStockArticulos] {errorMsg},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,2123,Console.WriteLine,NO,NO,ValidarRegionCelulares,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2149,Console.WriteLine,NO,NO,ValidarRegionCelulares,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2158,Console.WriteLine,NO,NO,ValidarRegionCelulares,Console.WriteLine(,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2164,Console.WriteLine,NO,NO,ValidarRegionCelulares,[ValidarRegionCelulares] Validación completada,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2168,Console.WriteLine,SI,SI,ValidarRegionCelulares,[ValidarRegionCelulares] Advertencia: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,2636,Logger.SAP,NO,NO,CreatePartnerNumberFromOrderAsync,[SAP BP AUTO-CREATION] ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,2642,Logger.SAP,NO,NO,CreatePartnerNumberFromOrderAsync,[SAP BP AUTO-CREATION ERROR]  + Payload Enviado: {payloadJson} | Objeto Recibido: {receivedJson},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,3034,Logger.SAP,SI,NO,FullCancelAsync,[CANCEL ORDER SIN ENTREGA] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\OrderMethods.cs,3045,Logger.SAP,NO,NO,FullCancelAsync,[CANCEL ORDER SIN ENTREGA] ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,3058,Console.WriteLine,SI,SI,FullCancelAsync,Aviso buscando Factura: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3073,Console.WriteLine,SI,SI,FullCancelAsync,Fallo al anular factura {billingDocument}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3084,Console.WriteLine,SI,SI,FullCancelAsync,Fallo al anular salida de mercancías {deliveryDocument}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3094,Console.WriteLine,SI,SI,FullCancelAsync,Error crítico en FullCancelAsync: {e.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3289,Console.WriteLine,SI,SI,GetDeliveryDocumentAsync,Error al consultar A_OutbDeliveryItem: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3334,Console.WriteLine,SI,SI,GetBillingDocumentByDeliveryAsync,[SD48] Error buscando BillingDocument para entrega {deliveryDocument}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,3373,Logger.SAP,SI,SI,GetCondicionAsync,[ORDER GetCondicion ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\OrderStatusMethods.cs,37,Logger.SAP,NO,NO,SetOrderStatusAsync,[ORDER setOrderStatus] ,QUITAR (no es excepcion),
Methods\Order\StorePickupMethods.cs,290,Logger.SAP,SI,SI,CreateCodeAndNotifyAsync,[ORDER CreateCodeAndNotifyAsync SAP Extractor ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\StorePickupMethods.cs,353,Logger.SAP,SI,SI,CreateCodeAndNotifyAsync,[ORDER CreateCodeAndNotifyAsync Magento ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\ProductImage\ProductImageMethods.cs,64,Logger.SAP,SI,SI,GetImagesAsync,[PRODUCT obtenerImagen ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Utils\RequestMethods.cs,95,Debug.WriteLine,NO,NO,LogSapRequest,===== SAP REQUEST =====,QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,96,Debug.WriteLine,NO,NO,LogSapRequest,URL: {url},QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,97,Debug.WriteLine,NO,NO,LogSapRequest,Method: {request.Method},QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,105,Debug.WriteLine,NO,NO,LogSapResponse,===== SAP RESPONSE =====,QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,106,Debug.WriteLine,NO,NO,LogSapResponse,StatusCode: {response.StatusCode},QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,107,Debug.WriteLine,NO,NO,LogSapResponse,StatusDescription: {response.StatusDescription},QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,108,Debug.WriteLine,NO,NO,LogSapResponse,Content:,QUITAR (no es excepcion),
Methods\Utils\RequestMethods.cs,109,Debug.WriteLine,NO,NO,LogSapResponse,Debug.WriteLine(response.Content);,QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,37,Logger.SAP,NO,NO,GetCustomerWallet,[SAP WALLET REQUEST] ,QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,42,Logger.SAP,NO,NO,GetCustomerWallet,[SAP WALLET RESPONSE] ,QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,46,Logger.SAP,NO,NO,GetCustomerWallet,[SAP WALLET ERROR]  + StatusCode: {response.StatusCode}. Content: {responseContent},QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,74,Logger.SAP,NO,NO,GetCustomerWalletAsync,[SAP WALLET REQUEST] ,QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,79,Logger.SAP,NO,NO,GetCustomerWalletAsync,[SAP WALLET RESPONSE] ,QUITAR (no es excepcion),
Methods\WalletCustomer\WalletCustomerMethods.cs,87,Logger.SAP,NO,NO,GetCustomerWalletAsync,[SAP WALLET ERROR]  + StatusCode: {response.StatusCode}. Content: {responseContent},QUITAR (no es excepcion),
Methods\Wallet\WalletMethods.cs,58,Console.WriteLine,SI,SI,GetCatalogoConfiguracionAsync,Error fetching {nombreCatalogo}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Wallet\WalletMethods.cs,236,Console.WriteLine,SI,SI,GetMinimumCostToRedeemAsync,Error: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
