Nombre Tabla|Tipo|Campos|Descripcion|Resultado
excluir_familia_linea|PERMANENTE (Intelisis)|Familia; Linea; MA|Familias-lineas excluidas del eCommerce.|Excluye familias-lineas completas. MA=1 para Muebles America.
eCommerceExist|PERMANENTE (Intelisis)|articulo; existencia; existencia96Tot; Sucs_local_1_exist; Sucs_local_2_exist; Sucs_local_3_exist|Existencias calculadas para eCommerce.|Existencia total y por tipo de sucursal. Se usa en reglas de existencia de #articulos y #exc_conexist.
PropreListaDFinal|PERMANENTE (Intelisis)|articulo; Precio; PrecioRef; Condicion; Sucursal; UEN; Oferta; SuperPromo; lista|Precios finales por condicion de venta.|Fuente de precios de contado; credito; oferta. Se consulta multiples veces con diferentes condiciones.
Condicion|PERMANENTE (Intelisis)|PROPREGrupo; TipoCondicion; Condicion|Catalogo de condiciones de precio.|Filtra condiciones de tipo Contado con Condicion=CONTADO MA.
VTASCCondicionesCredVtaLinea|PERMANENTE (Intelisis)|CondicionPropre; Mensualidades; TiendaVirtual|Condiciones de credito para venta en linea.|Regla 1393: valida que el articulo tenga precio de credito INM 12M para Muebles America.
VTASCReglasEcommerce|PERMANENTE (Intelisis)|IdReglasEcommerce; AlmacenesPrincipales; AlmacenesSecundarios; AlmacenesSecundariosDos; AlmacenRespaldo; ArtPorAlmacenPrincipal; ArtPorAlmacenSecundario; ArtPorAlmacenSecundarioDos; ArtPorAlmacenRespaldo|Parametros de reglas de existencia para eCommerce.|Define los umbrales de existencia por regla (1-7). Cada regla se aplica a un tipo de articulo diferente.
TablaStd|PERMANENTE (Intelisis)|TablaSt; Nombre; Valor|Tabla estandar de configuracion de Intelisis.|Se usa para: almacenes principales (DM0285AlmacenPrincipal); secundarios (DM0285AlmacenesSecundarios); respaldo (DM0285AlmacenRespaldo); propiedad para nombre configurable (PropiedadParaNombreConfigurable).
items_propiedad|PERMANENTE (Intelisis)|Articulo; Id_fam_prop; Valor_posible; valor|Propiedades de articulos del SIP.|Fuente de propiedades por articulo. Se consulta para IE/MAYORISTA/OUTLET y para propiedades de Magento.
familia_propiedad|PERMANENTE (Intelisis)|Id; Propiedad; Familia_Intelisis; Linea_Intelisis; familia_intelisis; linea_intelisis; Estatus; ocultar; Imprime_Etiqueta; Abierto|Propiedades por familia-linea del SIP.|Mapeo de propiedades a familias-lineas. Se usa junto con catalogo_propiedad.
catalogo_propiedad|PERMANENTE (Intelisis)|Id; Propiedad; AtributoMagento|Catalogo de propiedades del SIP.|Define el mapeo propiedad SIP -> AtributoMagento. Se usa para filtrar propiedades relevantes.
catalogo_valores_posibles|PERMANENTE (Intelisis)|Id; Valor|Valores posibles de propiedades.|Valores predefinidos para las propiedades. Se usa para IE=ELITE ESPECIAL; MAYORISTA!=0; OUTLET=SI.
eCommerceSetPropiedades|PERMANENTE (Intelisis)|IdFamPropiedad; Familia; Linea; UEN; NombreSet|Conjuntos de propiedades para eCommerce.|Define el NombreSet (attribute_set_code) por familia-linea-UEN. UEN IN (MA; todas).
eCommercePorcSobrePrecio|PERMANENTE (Intelisis)|Tipo; Familia; Porcentaje; uen; Tipoporc; Fechainicio; FechaFin; HoraInicio; HoraFin|Porcentajes sobre precio para eCommerce.|Porcentajes NORMAL y PROGRAMADO para calcular precios de referencia.
eCommerceRelCatMagentoIntelisis|PERMANENTE (Intelisis)|FamIntelisis; LinIntelisis; LinVirtual; ruta; UEN; PNM; SNM; TNM|Relacion categorias Magento - Intelisis.|Mapeo familia+linea de Intelisis a rutas de categorias de Magento.
eCommerceIntNivelVirtual|PERMANENTE (Intelisis)|NivelVirtual|Niveles virtuales de eCommerce.|Identifica lineas que tienen sublineas virtuales.
ecommercefamilialineaesp|PERMANENTE (Intelisis)|Familia; Linea; uen|Familias-lineas con reglas especiales de existencia.|Define excepciones a las reglas de existencia generales.
ecommerceactualizarimagenes|PERMANENTE (Intelisis)|Articulo; Imagen; estatus|Imagenes de articulos para eCommerce.|Verifica que el articulo tenga imagen optimizada no eliminada.
SCM_Art_imagen|PERMANENTE (Intelisis)|Imagen; Valor; Orden|Imagenes de articulos con orden de prioridad.|Filtra por Orden=1 (imagen principal). Se cruza con ecommerceactualizarimagenes.
TcWDM0285_AtributosdeMagento|PERMANENTE (Intelisis)|NombreSEt; Atributo; ValordeLista|Atributos de Magento configurados.|Valida que las propiedades sean atributos validos del set de Magento.
TcWDM0285_AtribMgtoValorLista|PERMANENTE (Intelisis)|Atributo; Valor|Valores de lista de atributos de Magento.|Valida que los valores de propiedades existan en la lista de valores de Magento.
Familias_validas_tdavirtual|PERMANENTE (Intelisis)|Familia; pagina|Familias validas para tienda virtual.|Filtra solo familias habilitadas para MUEBLES AMERICA.
PlaneadorMacroMAVIJOB|PERMANENTE (Intelisis)|Codigo; PrecioMapCIva; Estatus; BackOrder|Planeador macro de MAVI.|PrecioMapCIva para precios de referencia. BackOrder para mostrar articulos agotados con backorder.
VTASCProductoControl|PERMANENTE (Intelisis)|Articulo|Productos de alto riesgo.|Marca articulos como product_control=true.
VTASCCategoriasControl|PERMANENTE (Intelisis)|Categoria; Precio; nivel|Categorias con control de precio.|Define umbral de precio por categoria para category_control.
eCommerceCatMagento|PERMANENTE (Intelisis)|Id; Categoria|Catalogo de categorias de Magento.|Mapeo ID -> Categoria de Magento.
eCommerceLineasRelacion|PERMANENTE (Intelisis)|Familia; Linea; FamiliaRelacionada; LineaRelacionada; Cantidad|Relaciones entre familias-lineas para cross-sell.|Define que familias-lineas son cross-sell de otras.
Prop|PERMANENTE (Intelisis)|Cuenta; Tipo; Propiedad|Propiedades generales de articulos.|Se usa para SUBLINEA (operadora; nivel virtual) y region (R6).
ArtJuego|PERMANENTE (Intelisis)|Articulo; Juego|Articulos tipo juego/paquete.|Relaciona articulos padre-juego.
ArtJuegoD|PERMANENTE (Intelisis)|Articulo; Juego; Opcion|Detalle de juegos/paquetes.|Detalle de los componentes del juego.
VTASRConfigurablesFamLineaProp|PERMANENTE (Intelisis)|Familia; Linea; Fabricante; Modelo; ArticuloPadre; Activo|Configuracion de productos configurables.|Define la agrupacion: que familia+linea+fabricante+modelo forman un grupo configurable y su ArticuloPadre.
VTASRAgrupaFamLineaProp|PERMANENTE (Intelisis)|Familia; Linea; Activo; IDAgrupaFamLineaprop|Agrupacion por familia-linea para propiedades configurables.|Define que familias-lineas tienen propiedades configurables.
VTASDAgrupaFamLineaPropConf|PERMANENTE (Intelisis)|IDAgrupaFamLineaprop; PropiedadSip|Detalle de propiedades configurables por agrupacion.|Define que propiedades del SIP son configurables (ej: color; talla).
COMSCListaPrioridadEcommerce|PERMANENTE (Intelisis)|IdListaPrioridadEcommerce; FechaInicio; FechaFin; UEN|Listas de prioridad para ordenamiento eCommerce.|Define periodos de vigencia de listas de prioridad por UEN.
COMSDListaPrioridad|PERMANENTE (Intelisis)|IdListaPrioridadEcommerce; Familia; Linea; Codigo; Orden|Detalle de listas de prioridad.|Articulos especificos con su orden de prioridad dentro de familia-linea.
TcWDM0285_ECommerceTemporada|PERMANENTE (Intelisis)|ID; uen; FECHAINICIO; FECHAFIN|Temporadas de eCommerce.|Determina si es temporada especial o normal para el ordenamiento.
COMSCSIPCategorias|PERMANENTE (Intelisis)|IdSIPCategorias; Categoria|Categorias del SIP para carruseles.|Catalogo de categorias para asignar a carruseles.
COMSDSIPCarrusel|PERMANENTE (Intelisis)|Articulo; IdCategoria; UEN|Detalle de carruseles.|Asigna articulos a categorias de carrusel por UEN.
Venta|PERMANENTE (Intelisis)|ID; UEN; Mov; FechaEmision; Estatus|Encabezado de ventas.|Se usa para el Top 10 de articulos mas vendidos (FACTURA; CONCLUIDO; ultimos 30 dias; UEN=1).
VentaD|PERMANENTE (Intelisis)|ID; Articulo; Cantidad|Detalle de ventas.|Detalle de articulos vendidos para el Top 10.
VTASCPlantillaHTMLSEO|PERMANENTE (Intelisis)|Html|Plantilla HTML para SEO.|Se aplica a la descripcion cuando IncluyeVineta=1 en Art. Reemplaza 'description' y 'ARTICULO' en el template.
Familias_validas_tdavirtual|PERMANENTE (Intelisis)|Familia; pagina|Familias validas para tienda virtual.|Filtra solo familias habilitadas para pagina=MUEBLES AMERICA.
