Proyecto,Tipo,Archivo_o_Controller,Metodo_o_Ruta,Verbo,Linea,Destino_Real,Categoria_Destino,Estado
DMZ,Endpoint,CustomerServiceController,customerService/bbvaKeyAdvanced,POST,267,LAN SOAP externo WSeCommerceMX,HTTP externo,Activo
DMZ,Endpoint,CustomerServiceController,customerService/ActualizarCamposConfigurables,POST,319,Sin destino en LAN,Ninguno,Roto
DMZ,Endpoint,CustomerServiceController,customerService/InsertarDesdeTablerateNativo,POST,331,Sin destino en LAN,Ninguno,Roto
DMZ,Endpoint,CustomerServiceController,customerService/InsertarDesdeTablerateCustom,POST,343,Sin destino en LAN,Ninguno,Roto
DMZ,Endpoint,StatusController,status/getStatus,POST,12,LAN ping ICMP sin conexion SQL,Sin BD,Activo
DMZ,Metodo,Conn/Magento.cs,getToken,,20,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,Post,,26,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,Get,,48,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,Delete,,60,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getOrderInfo,,75,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getAttributes,,80,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getGeneralAttributes,,85,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getAttributeSets,,90,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getAttributeSetChildren,,95,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getCategories,,100,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getChildren,,105,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getNoImagenProduct,,110,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getProductWithWebsites,,115,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getOrderId,,120,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,setOrderStatus,,125,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,sendPickupReadyEmail,,131,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,deteleReservations,,137,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,updateProduct,,142,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,updateConfigurableProduct,,157,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,updateConfigurableProductLink,,172,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,updateStock,,183,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,updatePrice,,188,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,getCuenta,,194,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,setCuenta,,200,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,detelePromociones,,206,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,GetJsonOrder,,233,Magento REST,Magento REST,Activo
DMZ,Metodo,Conn/Magento.cs,SetCAccount,,238,Magento REST,Magento REST,Activo
DMZ,Metodo,Metodos/ProductMethods.cs,connect,,18,Conexion FTP/SFTP a Magento,Magento REST,Activo
DMZ,Metodo,Metodos/ProductMethods.cs,disconnect,,33,Conexion FTP/SFTP a Magento,Magento REST,Activo
DMZ,Metodo,Metodos/ProductMethods.cs,uploadToMagento,,38,Subida de imagenes a Magento,Magento REST,Activo
DMZ,Clase,Metodos/OrderMethods.cs,Clase vacia sin metodos,,25,Ninguno,Ninguno,Codigo muerto
DMZ,Clase,Models/*,20 archivos de DTOs y POCOs,,,Sin conexion,Sin BD,Activo
LAN,Metodo,Metodos/CreditMethods.cs,ProductosCreditoWeb_SaveData,,94,SP SP_CREDITO_WEB_DATOS -> ERPMAVI.IntelisisTMP.dbo.CREDICCondicionArt + TablaStD + CteTel,Intelisis via linked server,RECLASIFICADO
LAN,Metodo,Metodos/CreditMethods.cs,CreditoWeb_SaveFirstData,,507,SP SpCREDISolicitudWebPrimerGuardado -> ERPMAVI.IntelisisTMP,Intelisis via linked server,RECLASIFICADO
